OBJECTID,SYSTEM,MONTHDAY_INSTALLED,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,Shape__Area,Shape__Length
1,GSWI,9_17,2013,ACT,PWD,2,,280280ad-186e-4876-8183-d6d63a05df22,,25.63671875,24.5471066742769
2,GSWI,9_17,2013,ACT,PWD,2,,66b19fb6-ff90-4d5f-9e1f-1a9fd0985315,,21.73828125,25.0680064380665
3,GSWI,5_14,2011,ACT,PWD,2,,4ca6090e-56ca-4f10-92d1-cca8257dabe1,,69.36328125,51.2426307788211
4,GSWI,5_14,2011,ACT,PWD,2,,7ee5cb57-d325-4749-9f7e-17406f310f72,,43.703125,37.0091449766554
5,GSWI,12_13,2012,ACT,PWD,2,,8ed212e8-5252-477c-8f3e-888b8f66cdfc,,12.390625,15.3568380846438
6,GSWI,5_14,2011,ACT,PWD,2,,504c90d7-4543-4893-afca-f6f86ffb624f,,72.9765625,60.295100108367
7,GSWI,5_14,2011,ACT,PWD,2,,8a485e1e-0522-454e-b012-5cf616f97ebe,,40.5625,33.7970666335682
8,GSWI,11_1,2010,ACT,PWD,2,,5c6904cc-7ca7-4ac4-912b-198b9a762d9d,,38.1171875,47.2238198704097
9,GSWI,5_14,2011,ACT,PWD,2,,a37182bc-febf-4341-b030-2a67738e05a5,,76.6328125,52.9308370206213
10,GSWI,4_25,2014,ACT,PWD,2,,261350c0-8ddc-4a72-87d2-05f4e1617eb4,,55.1640625,37.6360900262409
11,GSWI,5_14,2011,ACT,PWD,2,,0e457587-9ad1-4c14-9136-d283077e70dd,,77.67578125,52.510584462929
12,GSWI,3_5,2013,ACT,PWD,2,,8bb2857d-e2df-41b4-864d-b8300720f51a,,598.3828125,142.047098924362
13,GSWI,3_5,2013,ACT,PWD,2,,f2816ae5-22d9-4a43-8957-a53dd6f5f38d,,596.21484375,136.758348287563
14,GSWI,4_23,2013,ACT,PWD,2,,bb5287b9-7795-47f5-8390-b8aa99d4474d,,55.35546875,58.2853079700788
15,GSWI,9_20,2013,ACT,PWD,2,,e7110bb9-bd93-4386-8f71-64b691d011c4,,44.875,55.9867575982529
16,GSWI,11_25,2014,ACT,PWD,2,,82bff18b-a11f-48e6-b419-dcb9bf179908,,31.50390625,45.2773917199847
17,GSWI,3_5,2013,ACT,PWD,2,,1f0ca92a-93a9-4719-b72d-9eb5056af140,,1130.24609375,383.932273319315
18,GSWI,6_13,2018,ACT,PWD,2,,7c753d1e-8301-4b8f-849f-2bd4f569f8da,,154.734375,143.644981690047
19,GSWI,10_29,2018,ACT,PWD,2,,31c7cfdd-2bc7-4c5c-a761-940f972ae093,,134.0703125,76.0605043156901
20,GSWI,10_29,2018,ACT,PWD,2,,8a0e9cd7-b10a-4e3f-b635-83a83259abc4,,78.32421875,49.6847669399804
21,GSWI,3_20,2019,ACT,PWD,2,,80be2aae-0d2c-4868-a337-a3cc7ae0f466,,120.05078125,53.7919211614058
22,GSWI,3_20,2019,ACT,PWD,2,,ff730fad-3bbf-45fb-adfd-14d912072c87,,124.13671875,57.1261252419065
23,GSWI,3_20,2019,ACT,PWD,2,,6b4b9736-8b4f-441a-8017-5c0fcec074d6,,120.18359375,56.0308861778622
24,GSWI,10_29,2018,ACT,PWD,2,,80994ee0-6229-466e-b3cb-108fb12d6b53,,57.3203125,41.7751276744661
